id_alimento,nombre,categoria,kcal_100g,proteinas_100g,grasas_100g,carbs_100g
1,Aceite comestible mezcla,aceites,900,0.0,100.0,0.0
2,Aceite de canola,aceites,900,0.0,100.0,0.0
3,Aceite de chía,aceites,892,0.0,99.1,0.0
4,Aceite de coco,aceites,900,0.0,100.0,0.0
5,Aceite de girasol,aceites,900,0.0,100.0,0.0
6,Aceite de girasol alto oleico,aceites,900,0.0,100.0,0.0
7,Aceite de maíz,aceites,900,0.0,100.0,0.0
8,Aceite de oliva,aceites,900,0.0,100.0,0.0
9,Aceite de sésamo,aceites,900,0.0,100.0,0.0
10,Aceite de soja,aceites,900,0.0,100.0,0.0
11,Aceite de uva,aceites,900,0.0,100.0,0.0
12,Aceite mezcla con oliva,aceites,900,0.0,100.0,0.0
13,Rocío vegetal,aceites,900,0.0,100.0,0.0
14,Alimento a base de almendras (leche de almendras),frutas secas y semillas,36,0.4,1.0,6.2
15,Almendra,frutas secas y semillas,570,21.2,49.9,9.1
16,Avellana,frutas secas y semillas,631,12.7,60.9,8.0
17,Maní tostado salado,frutas secas y semillas,596,24.4,49.7,12.9
18,Maní tostado sin sal,frutas secas y semillas,596,24.4,49.7,12.9
19,Mantequilla de maní,frutas secas y semillas,607,21.9,49.5,18.3
20,"Mix de frutos secos, semillas y pasas de uva",frutas secas y semillas,515,14.1,36.1,33.5
21,Nuez,frutas secas y semillas,690,13.9,67.4,7.0
22,Pistacho salado,frutas secas y semillas,566,21.1,45.8,17.3
23,Semilla de amapola,frutas secas y semillas,481,18.0,41.6,8.6
24,Semilla de chía,frutas secas y semillas,374,16.5,30.7,7.7
25,Semilla de girasol,frutas secas y semillas,592,20.8,51.5,11.4
26,Semilla de girasol con sal y con cáscara,frutas secas y semillas,586,19.3,49.8,15.1
27,Semilla de lino,frutas secas y semillas,459,18.3,42.2,1.6
28,Semilla de sésamo,frutas secas y semillas,565,17.7,49.7,11.7
29,Semilla de zapallo,frutas secas y semillas,581,30.2,49.1,4.7
30,Azúcar blanca molida,azúcares mermeladas y dulces,400,0.0,0.0,100.0
31,Azúcar impalpable,azúcares mermeladas y dulces,399,0.0,0.0,99.8
32,Azúcar morena / azúcar mascabo,azúcares mermeladas y dulces,393,0.1,0.0,98.1
33,Dulce de batata,azúcares mermeladas y dulces,255,0.9,0.1,62.5
34,Dulce de batata light,azúcares mermeladas y dulces,164,0.9,0.0,40.0
35,Dulce de leche,azúcares mermeladas y dulces,315,6.5,6.6,57.4
36,Dulce de leche light,azúcares mermeladas y dulces,287,5.5,0.5,65.0
37,Dulce de membrillo,azúcares mermeladas y dulces,269,0.4,0.1,66.7
38,Dulce de membrillo light,azúcares mermeladas y dulces,160,0.0,0.0,40.0
39,Glucosa,azúcares mermeladas y dulces,339,0.0,0.0,84.7
40,Jalea tipo membrillo,azúcares mermeladas y dulces,277,0.2,0.0,69.0
41,Kero o melaza,azúcares mermeladas y dulces,300,0.0,0.1,74.7
42,Mermelada de frutas,azúcares mermeladas y dulces,273,0.4,0.1,67.8
43,Mermelada de frutas light,azúcares mermeladas y dulces,145,0.0,0.1,36.1
44,Miel,azúcares mermeladas y dulces,330,0.3,0.0,82.2
45,Alfajor de arroz,golosinas y chocolates,486,6.8,26.8,54.5
46,Alfajor de chocolate,golosinas y chocolates,411,6.3,14.1,64.6
47,Alfajor de chocolate con relleno tipo mousse,golosinas y chocolates,540,7.4,31.0,57.8
48,Alfajor de dulce de leche,golosinas y chocolates,381,6.6,8.9,68.5
49,Alfajor de fruta,golosinas y chocolates,387,2.2,8.9,74.5
50,Alfajor de maicena,golosinas y chocolates,405,6.3,13.4,64.9
51,Alfajor de miel,golosinas y chocolates,303,7.6,3.2,60.9
52,Alfajor light,golosinas y chocolates,300,6.7,10.0,45.7
53,Bananita con cobertura de chocolate,golosinas y chocolates,379,2.9,10.0,69.3
54,Baño de repostería para cubrir tortas,golosinas y chocolates,564,7.8,37.0,50.0
55,Barra de arroz rellena bañada,golosinas y chocolates,501,10.0,24.5,60.0
56,Barra de chocolate tipo Kinder,golosinas y chocolates,552,9.6,34.0,52.0
57,Bocadito con dulce de leche tipo Cabsha,golosinas y chocolates,427,5.3,13.1,72.2
58,Bombón tipo Bon O Bon,golosinas y chocolates,556,10.0,36.0,48.0
59,Bombones de fruta,golosinas y chocolates,327,0.3,0.1,81.1
60,Cacao amargo*,golosinas y chocolates,285,19.6,13.7,20.9
61,Cacao en polvo sin fortificar*,golosinas y chocolates,383,6.7,4.0,80.0
62,Cacao en polvo tipo Nesquick*,golosinas y chocolates,336,5.4,0.0,78.6
63,Caramelos duros,golosinas y chocolates,394,0.0,0.2,98.0
64,Caramelos duros light,golosinas y chocolates,236,0.0,0.0,98.6
65,Caramelos masticables,golosinas y chocolates,398,0.9,6.0,85.1
66,Caramelos rellenos,golosinas y chocolates,394,0.0,0.2,98.0
67,Chicles,golosinas y chocolates,380,0.0,0.3,94.3
68,Chicles sin azúcar,golosinas y chocolates,256,0.0,0.4,63.0
69,Chocolate 60% cacao o más,golosinas y chocolates,547,6.1,38.3,44.4
70,Chocolate amargo,golosinas y chocolates,575,14.3,52.3,11.8
71,Chocolate blanco,golosinas y chocolates,548,5.9,32.1,59.0
72,Chocolate con almendras,golosinas y chocolates,534,9.0,34.4,47.2
73,Chocolate con maní,golosinas y chocolates,542,10.2,33.2,50.5
74,Chocolate light,golosinas y chocolates,566,10.0,35.9,50.6
75,Chocolate para taza,golosinas y chocolates,519,4.2,30.0,58.0
76,Chocolatín / chocolate con leche,golosinas y chocolates,522,7.7,29.7,56.0
77,Chupetín,golosinas y chocolates,394,0.0,0.2,98.0
78,Conito de dulce de leche enva sado,golosinas y chocolates,413,5.4,17.1,59.5
79,Cubanito relleno,golosinas y chocolates,506,5.6,22.2,71.0
80,Garrapiñada de maní,golosinas y chocolates,539,15.5,33.7,43.3
81,Gomitas de gelatina,golosinas y chocolates,374,0.0,0.1,93.4
82,Huevo de chocolate tipo Kinder,golosinas y chocolates,538,8.0,34.0,50.0
83,Lentejas de chocolate,golosinas y chocolates,485,5.2,20.0,71.0
84,Maní con chocolate,golosinas y chocolates,534,13.1,33.5,45.0
85,Medallón de menta y chocolate,golosinas y chocolates,545,5.0,24.0,77.1
86,Merengues / merenguitos,golosinas y chocolates,347,5.8,0.1,80.8
87,Minitorta bañada,golosinas y chocolates,403,7.6,17.0,55.0
88,Oblea bañada tipo Kit Kat,golosinas y chocolates,514,6.5,26.0,63.6
89,Obleas bañadas tipo Nugaton,golosinas y chocolates,514,6.5,26.0,63.6
90,Pasas de uva con chocolate,golosinas y chocolates,411,4.1,14.8,65.3
91,Pastillas,golosinas y chocolates,336,0.0,0.0,84.0
92,Pastillas sin azúcar,golosinas y chocolates,380,0.0,0.0,95.0
